1,1,Help Wanted/Reef Blower/Tea at the Treedome
1,2,BubbleStand/Ripped Pants
1,3,Jellyfishing/Plankton!
1,4,Naughty Nautical Neighbors/Boating School
1,5,Pizza Delivery/Home Sweet Pineapple
1,6,Mermaidman and Barnacleboy/Pickles
1,7,Hall Monitor/Jellyfish Jam
1,8,Sandy's Rocket/Squeaky Boots
1,9,Nature Pants/Opposite Day
1,10,Culture Shock/F.U.N.
1,11,MuscleBob BuffPants/Squidward the Unfriendly Ghost
1,12,The Chaperone/Employee of the Month
1,13,Scaredy Pants/I Was a Teenage Gary
1,14,SB-129/Karate Choppers
1,15,Sleepy Time/Suds
1,16,Valentine's Day/The Paper
1,17,Arrgh!/Rock Bottom
1,18,Texas/Walking Small
1,19,Fools in April/Neptune's Spatula
1,20,Hooky/Mermaidman and Barnacleboy II
2,1,Your Shoe's Untied/Squid's Day Off
2,2,Something Smells/Bossy Boots
2,3,Big Pink Loser/Bubble Buddy
2,4,Dying for Pie/Imitation Krabs
2,5,Wormy/Patty Hype
2,6,Grandma's Kisses/Squidville
2,7,PreHibernation Week/Life of Crime
2,8,Christmas Who?
2,9,Survival of the Idiots/Dumped
2,10,No Free Rides/I'm Your Biggest Fanatic
2,11,Mermaidman and Barnacleboy III/Squirrel Jokes
2,12,Pressure/The Smoking Peanut
2,13,Shanghaied/Gary Takes a Bath
2,14,Welcome to the Chum Bucket/Frankendoodle
2,15,The Secret Box/Band Geeks
2,16,Graveyard Shift/Krusty Love
2,17,Procrastination/I'm with Stupid
2,18,Sailor Mouth/Artist Unknown
2,19,Jellyfish Hunter/The Fry Cook Games
2,20,"Sandy, SpongeBob, and the Worm/Squid on Strike"
3,1,The Algae's Always Greener/SpongeGuard on Duty
3,2,Club SpongeBob/My Pretty Seahorse
3,3,Just One Bite/The Bully
3,4,Nasty Patty/Idiot Box
3,5,Mermaidman and Barnacleboy IV/Doing Time
3,6,Snowball Effect/One Krabs Trash
3,7,As Seen on TV/Can You Spare a Dime?
3,8,No Weenies Allowed/Squilliam Returns
3,9,Krab Borg/Rock-a-Bye Bivalve
3,10,Wet Painters/Krusty Krab Training Video
